Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time En Route (Mins),Distance Covered (Miles)
8249,NJCL,Long Branch,Weekday Extra,PM,12,Express,96,53.9
3251,NJCL,Long Branch-BH,Weekday,PM,22,Semi-Local,137,75.1
3937,NEC,Trenton,Weekday,PM,7,Express,78,58.1
3753,NJCL,Jersey Avenue,Weekday,PM,11,Local,68,34.4
8353,NJCL,Bay Head,Weekday Extra,PM,20,Express,130,75.1
8855,NEC,Trenton,Weekday Extra,PM,5,Super-Express,73,58.1
3509,NJCL,South Amboy,Weekday,PM,11,Local,64,30.1
3855,NEC,Trenton,Weekday,PM,10,Express,84,58.1
3857,NEC,Trenton,Weekday,PM,12,Semi-Local,90,58.1
3255,NJCL,Long Branch-BH,Weekday,PM,18,Express,129,75.1
3721,NEC,Jersey Avenue,Weekday,PM,8,Express,63,34.4
3595,NJCL,South Amboy,Weekday,PM,11,Local,66,30.1
3943,NEC,Trenton,Weekday,PM,5,Super-Express,73,58.1
3723,NEC,Jersey Avenue,Weekday,PM,7,Express,62,34.4
3361,NJCL,Bay Head,Weekday,PM,21,Express,130,75.1
3861,NEC,Trenton,Weekday,PM,14,Local,92,58.1
3947,NEC,Trenton,Weekday,PM,5,Super-Express,72,58.1
3165,NEC,Jersey Avenue,Weekday,PM,8,Express,63,34.4
3363,NJCL,Bay Head,Weekday,PM,19,Express,126,75.1
3949,NEC,Trenton,Weekday,PM,4,Super-Express,72,58.1
3511,NJCL,South Amboy,Weekday,PM,10,Local,61,30.1
3725,NEC,Jersey Avenue,Weekday,PM,7,Express,58,34.4
3951,NEC,Trenton,Weekday,PM,5,Super-Express,74,58.1
3265,NJCL,Long Branch,Weekday,PM,13,Express,93,53.9
3867,NEC,Trenton,Weekday,PM,12,Semi-Local,96,58.1
3513,NJCL,South Amboy,Weekday,PM,11,Local,65,30.1
3267,NJCL,Long Branch-BH,Weekday,PM,18,Express,131,75.1
3727,NEC,Jersey Avenue,Weekday,PM,7,Express,59,34.4
3953,NEC,Trenton,Weekday,PM,5,Super-Express,71,58.1
3871,NEC,Trenton,Weekday,PM,11,Express,85,58.1
3271,NJCL,Long Branch,Weekday,PM,17,Local,106,53.9
3957,NEC,Trenton,Weekday,PM,4,Super-Express,72,58.1
3373,NJCL,Bay Head,Weekday,PM,19,Express,128,75.1
3959,NEC,Trenton,Weekday,PM,7,Express,83,58.1
3873,NEC,Trenton,Weekday,PM,11,Semi-Local,90,58.1
3515,NJCL,South Amboy,Weekday,PM,11,Local,72,30.1
3275,NJCL,Long Branch-BH,Weekday,PM,19,Express,133,75.1
3175,NEC,Jersey Avenue,Weekday,PM,8,Express,59,34.4
3961,NEC,Trenton,Weekday,PM,6,Express,77,58.1
3875,NEC,Trenton,Weekday,PM,15,Local,98,58.1
3279,NEC,Long Branch-BH,Weekday,PM,23,Semi-Local,140,75.1
3963,NEC,Trenton,Weekday,PM,8,Express,84,58.1
3733,NEC,Jersey Avenue,Weekday,PM,8,Express,62,34.4
3281,NJCL,Long Branch,Weekday,PM,16,Local,95,53.9
3881,NEC,Trenton,Weekday,PM,14,Local,93,58.1
3965,NEC,Trenton,Weekday,PM,6,Express,78,58.1
3883,NEC,Trenton,Weekday,PM,15,Local,99,58.1
3969,NEC,Trenton,Weekday,PM,7,Express,80,58.1
3283,NJCL,Long Branch-BH,Weekday,PM,23,Semi-Local,140,75.1
3885,NEC,Trenton,Weekday,PM,11,Express,90,58.1
3285,NJCL,Long Branch,Weekday,PM,17,Local,100,53.9
3887,NEC,Trenton,Weekday,PM,12,Semi-Local,88,58.1
3889,NEC,Trenton,Weekday,PM,12,Semi-Local,89,58.1
3289,NJCL,Long Branch,Weekday,PM,25,Local,98,53.9
3737,NEC,Jersey Avenue,Weekday,PM,12,Local,72,34.4
3891,NEC,Trenton,Weekday,PM,12,Semi-Local,91,58.1
3293,NJCL,Long Branch-BH,Weekday,PM,26,Local,150,75.1
3893,NEC,Trenton,Weekday,PM,12,Semi-Local,89,58.1
3895,NEC,Trenton,Weekday,PM,15,Local,100,58.1
3297,NJCL,Long Branch-BH,Weekday,PM,25,Local,146,75.1
3201,NJCL,Long Branch,Weekday,Late Night,17,Local,103,53.9
3897,NEC,Trenton,Weekday,Late Night,15,Local,99,58.1
3205,NJCL,Long Branch,Weekday,Late Night,16,Local,102,53.9
3805,NEC,Trenton,Weekday,Late Night,11,Local,104,58.1
7813,NEC,Trenton,Weekend/Holiday,AM,14,Local,95,58.1
7217,NJCL,Long Branch,Weekend/Holiday,AM,17,Local,99,53.9
7817,NEC,Trenton,Weekend/Holiday,AM,13,Local,93,58.1
