Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class
7873,NEC,Trenton,Weekend/Holiday,PM,13,Local
7875,NEC,Trenton,Weekend/Holiday,PM,9,Express
7277,NJCL,Long Branch-BH,Weekend/Holiday,PM,24,Local
7877,NEC,Trenton,Weekend/Holiday,PM,14,Local
7879,NEC,Trenton,Weekend/Holiday,PM,9,Express
7281,NJCL,Long Branch,Weekend/Holiday,PM,16,Local
7881,NEC,Trenton,Weekend/Holiday,PM,14,Local
7883,NEC,Trenton,Weekend/Holiday,PM,9,Express
7285,NJCL,Long Branch-BH,Weekend/Holiday,PM,24,Local
7885,NEC,Trenton,Weekend/Holiday,PM,14,Local
7201,NJCL,Long Branch,Weekend/Holiday,Late Night,17,Local
7887,NEC,Trenton,Weekend/Holiday,Late Night,15,Local
7801,NEC,Trenton,Weekend/Holiday,Late Night,14,Local
7205,NJCL,Long Branch-BH,Weekend/Holiday,Late Night,25,Local
7805,NEC,Trenton,Weekend/Holiday,Late Night,15,Local
