Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time En Route (Mins),Distance Covered (Miles),Configuration Direction,Expected Average Speed En Route (mph),Expected Average Acceleration En Route
6295,MOBO,MSU,Weekday,PM,12,Local,52,22.6,W,26.07692307692308,4.919511834319526
6297,MOBO,MSU,Weekday,PM,12,Local,52,22.6,W,26.07692307692308,4.919511834319526
6299,MOBO,MSU,Weekday,PM,12,Local,52,22.6,W,26.07692307692308,4.919511834319526
6201,MOBO,MSU,Weekday,Late Night,12,Local,50,22.6,R,27.12,5.320944
9225,MOBO,MSU,Weekend/Holiday Extra,PM,11,Local,48,22.6,R,28.25,5.773593750000001
9227,MOBO,MSU,Weekend/Holiday Extra,PM,11,Local,48,22.6,W,28.25,5.773593750000001
9229,MOBO,MSU,Weekend/Holiday Extra,PM,11,Local,48,22.6,R,28.25,5.773593750000001
3809,NEC,Trenton,Weekday,AM,14,Local,99,58.1,R,35.21212121212121,3.489201101928375
3209,NJCL,Long Branch,Weekday,AM,16,Local,97,53.9,W,33.34020618556701,3.371829099798066
3813,NEC,Trenton,Weekday,AM,15,Local,97,58.1,W,35.93814432989691,3.634569029652461
3215,NJCL,Long Branch-BH,Weekday,AM,17,Local,152,75.1,R,29.64473684210526,1.913255713296399
3701,NEC,Jersey Avenue,Weekday,AM,6,Express,52,34.4,R,39.69230769230769,7.48810650887574
3503,NJCL,South Amboy,Weekday,AM,6,Express,53,30.1,W,34.0754716981132,6.307176931292275
3815,NEC,Trenton,Weekday,AM,13,Local,89,58.1,R,39.16853932584269,4.317341244792324
3217,NJCL,Long Branch,Weekday,AM,16,Local,96,53.9,R,33.6875,3.44244140625
3705,NEC,Jersey Avenue,Weekday,AM,4,Express,47,34.4,R,43.91489361702127,9.166066093254866
3817,NEC,Trenton,Weekday,AM,14,Local,97,58.1,W,35.93814432989691,3.634569029652461
3505,NJCL,South Amboy,Weekday,AM,5,Express,48,30.1,W,37.625,7.689609375
3221,NJCL,Long Branch-BH,Weekday,AM,26,Local,148,75.1,R,30.44594594594594,2.018072498173849
3821,NEC,Trenton,Weekday,AM,13,Local,91,58.1,W,38.30769230769231,4.129653423499579
3709,NEC,Jersey Avenue,Weekday,AM,7,Express,54,34.4,W,38.22222222222221,6.943703703703703
3223,NJCL,Long Branch-BH,Weekday,AM,25,Local,144,75.1,R,31.29166666666666,2.131744791666666
3823,NEC,Trenton,Weekday,AM,12,Semi-Local,91,58.1,R,38.30769230769231,4.129653423499579
